,film_id,title,original_language,genre_ids,release_date,popularity,vote_average,vote_count
1828,405774,Bird Box,en,"[27, 53, 18]",2018-12-13,36.089,6.9,9223
1829,25475,Tinker Bell and the Lost Treasure,en,"[16, 10751, 12, 14]",2009-09-03,36.08,6.8,905
1830,929,Godzilla,en,"[878, 28, 53]",1998-05-20,36.072,5.6,3540
1831,552095,PAW Patrol: Mighty Pups,en,"[12, 16, 10751, 28]",2018-10-04,36.065,7.5,547
1832,454640,The Angry Birds Movie 2,en,"[16, 35, 12, 10751]",2019-08-02,36.065,7.1,1504
1833,527641,Five Feet Apart,en,"[10749, 18]",2019-03-14,36.045,8.3,5251
1834,257354,Busty Cops: Protect and Serve!,en,"[35, 80, 9648, 10749]",2009-08-01,36.042,4.8,13
1835,16337,The Texas Chainsaw Massacre 2,en,"[35, 27]",1986-08-22,35.991,5.6,750
1836,504253,I Want to Eat Your Pancreas,ja,"[16, 18, 10749]",2018-09-01,35.99,8.3,1330
1837,43947,I Spit on Your Grave,en,"[53, 80, 27]",2010-06-17,35.988,6.5,2052
1838,13597,Labyrinth,en,"[12, 10751, 14]",1986-06-27,35.98,7.3,2164
1839,9739,Demolition Man,en,"[80, 28, 878]",1993-10-08,35.973,6.7,3328
1840,206647,Spectre,en,"[28, 12, 53]",2015-10-26,35.954,6.5,9892
1841,627,Trainspotting,en,"[18, 80]",1996-02-23,35.949,8.0,9015
1842,1146147,A Really Haunted Loud House,en,"[10770, 35]",2023-09-28,35.948,0.0,0
1843,578,Jaws,en,"[27, 53, 12]",1975-06-20,35.945,7.7,9538
1844,9297,Monster House,en,"[16, 35, 10751, 14]",2006-06-30,35.928,6.7,3637
1845,609,Poltergeist,en,[27],1982-06-04,35.919,7.1,2683
1846,665,Ben-Hur,en,"[28, 18, 36, 12]",1959-11-18,35.858,7.9,2463
1847,83090,Saint Seiya: Evil Goddess Eris,ja,"[28, 16, 14]",1987-07-18,35.846,7.0,189
1848,241,Natural Born Killers,en,"[80, 53, 18]",1994-08-26,35.839,7.1,3097
1849,252838,The Wedding Ringer,en,[35],2015-01-16,35.821,6.5,1488
1850,297,Meet Joe Black,en,"[14, 18, 10749]",1998-11-12,35.819,7.3,4608
